date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1982-01-01,12.89,1168275,NA,58.02,15.75,48.461974030336,45.7566879376098,0.007257420712678714,NA
1982-02-01,14.83,1160075,NA,57.84,16.69,48.1237657535746,42.8773173091676,0.007237461098646596,NA
1982-03-01,11.72,1154673,NA,57.99,18.77,46.8567498227924,40.6886608945154,0.007121999857560003,NA
1982-04-01,11.87,1165496,NA,58.14,18.15,46.4506683734212,42.2520135260949,0.007197351374694113,NA
1982-05-01,11.99,1187387,NA,58.49,18.49,46.2470032467716,43.897397568166,0.007376807317792859,NA
1982-06-01,12.9,1237945,NA,58.61,17.87,44.0492550227628,43.6013744568023,0.007258474268708717,NA
1982-07-01,9.57,1257157,NA,58.58,18.4,43.5229961876153,43.7880307743647,0.007220216606498195,NA
1982-08-01,11.1,1278916,NA,60.35,17.74,42.6823905894596,43.3315308826873,0.007037792948131466,NA
1982-09-01,8.9,1302613,NA,59.79,18.21,42.4336726959502,44.4942353597793,0.00711591830925781,NA
1982-10-01,8.79,1323729,NA,59.31,17.84,41.4947391389267,44.8853804665771,0.0071285999429712005,NA
1982-11-01,8.46,1336338,NA,58.83,17.47,42.2227157977064,43.9129070779662,0.007260582298700356,NA
1982-12-01,8.38,1398336,NA,59.05,19.81,42.7079323966151,41.9570053226452,0.007383343177790904,NA
1983-01-01,7.09,1414555,NA,59.07,19.13,43.2757207637037,40.7796900005726,0.007490075649764063,NA
1983-02-01,8.16,1445723,NA,59.66,15.4,44.5542251685911,39.1319448563304,0.007359976448075366,NA
1983-03-01,6.66,1468630,NA,59.91,19.75,45.4814731383376,38.1784622344082,0.00733783387144115,NA
1983-04-01,6.71,1482135,NA,60.17,19.67,47.158900143435,39.5824772425138,0.007322788517867604,NA
1983-05-01,6.72,1517906,NA,59.76,20.51,48.5573971475589,39.2258223669314,0.007433286255853713,NA
1983-06-01,7.14,1571637,NA,60.2,20.85,48.3307140976437,39.9534180499288,0.007320644216691069,NA
1983-07-01,7.39,1591614,NA,59.53,21.48,49.1565331781371,40.0085845160402,0.007350779182593355,NA
1983-08-01,7.53,1614852,NA,59.5,21.6,52.5596784694558,40.2867942939067,0.0073067368113400545,NA
1983-09-01,6.12,1640794,NA,59.68,21.05,53.1226288425658,39.7803737989244,0.0073480784774781396,NA
1983-10-01,6.39,1671933,NA,59.66,21.02,52.8507590107014,39.1775980934256,0.007358351729212656,NA
1983-11-01,6,1688098,NA,59.16,21.11,52.1171998885545,38.5928578249034,0.007250580046403713,NA
1983-12-01,6.42,1762328,NA,58.35,22.31,52.3029088295685,38.0984672571583,0.007472724555372889,NA
1984-01-01,8.1,1835549,NA,58.39,23.13,53.1154275803062,38.2520498346734,0.007584376185058779,NA
1984-02-01,8.45,1812721,NA,58.98,18.38,52.4269782366016,38.4755661703657,0.007623113279463333,NA
1984-03-01,7.23,1832124,NA,59.14,23.19,53.4591766392798,38.7763329371493,0.007736345350456445,NA
1984-04-01,6.51,1841051,NA,59.25,22.41,53.4717214504393,38.7798888419982,0.007658727119552731,NA
1984-05-01,5.05,1881246,NA,59.97,24.07,54.0854659305509,38.6978691094166,0.007457121551081283,NA
1984-06-01,5.9,1925464,NA,59.92,23.29,51.9648586380635,38.4160773308767,0.007458233890214797,NA
1984-07-01,6.78,1943141,NA,59.76,24.16,48.4023607444825,37.2521870079563,0.007256894049346879,NA
1984-08-01,5.47,1983358,NA,59.98,24.02,47.7456455627094,37.4614274570896,0.007147962830593281,NA
1984-09-01,6.7,2009041,NA,60.18,21.98,47.0124584055292,37.5660235888703,0.007080648587410607,NA
1984-10-01,5.04,2036252,NA,59.94,22.18,46.229614570999,37.0441218151658,0.007107320540156362,NA
1984-11-01,6.05,2044402,NA,59.6,22.33,46.0804928039157,36.8474624987649,0.00725531451788435,NA
1984-12-01,6.61,2110629,NA,59.31,23.53,44.7788149845458,35.946997295207,0.007207207207207207,NA
1985-01-01,6.59,2126130,NA,59.34,24.04,44.6340218681467,35.7890772512316,0.007090689924129618,NA
1985-02-01,8.35,2185597,NA,59.81,19.49,44.6127432479045,36.9149401681043,0.006898454746136865,NA
1985-03-01,6.37,2210449,NA,59.84,23.57,44.6708758566714,37.0647064677693,0.006986167388570631,NA
1985-04-01,5.42,2220897,NA,59.55,23.66,45.1200041215939,37.0373693157701,0.007279079924297569,NA
1985-05-01,6.03,2243215,NA,59.36,24.14,44.1513765931709,35.6630240586508,0.007344300822561692,NA
1985-06-01,5.43,2314868,NA,59.27,23.23,42.7902626873668,35.4252701127512,0.007413447994662318,NA
1985-07-01,5.63,2342091,NA,59.33,24,41.7774577734646,35.3515390788466,0.007637668983426258,NA
1985-08-01,7.83,2387058,NA,59.07,23.44,41.0440227065039,35.976861183777,0.007840062720501764,NA
1985-09-01,5.88,2442312,NA,60.05,22.6,40.1424056594927,35.8757929978732,0.0076869859328157425,NA
1985-10-01,5,2477017,NA,59.99,23.46,39.9457485194154,36.7020274884839,0.008034709946970914,NA
1985-11-01,5,2506129,NA,59.15,23.01,40.5950945428222,37.5270859064335,0.008244023083264633,NA
1985-12-01,5,2588288,NA,58.54,25.56,42.5654179305451,35.1755158729115,0.0083941912196759845,NA
1986-01-01,5.08,2658116,NA,59.09,26.2,43.6678538764882,33.1492816835215,0.008350730688935281,NA
1986-02-01,5.01,2686787,NA,59.25,19.93,42.8872345555299,23.7430973763656,0.00852151682999574,NA
1986-03-01,3.57,2689225,NA,59.24,28.32,43.3646557229065,19.9758918755802,0.008608815426997245,NA
1986-04-01,3.64,2715742,NA,59.39,25.55,42.6548898140915,19.0949351675052,0.008576329331046312,NA
1986-05-01,3.5,2737556,NA,59.47,26.83,41.7126525631191,20.8555766840622,0.00868357068426537,NA
1986-06-01,4.32,2801784,NA,59.62,26.27,40.3499174942405,18.7144234444406,0.008565310492505354,NA
1986-07-01,3.5,2843701,NA,59.47,27.51,39.1785916421695,16.2594330796929,0.008762705923589204,NA
1986-08-01,3.5,2930814,NA,59.8,27.54,38.9736480263663,20.5892136865704,0.008681309141418526,NA
